"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.51,1.94,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.81,0.43,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.15,-1.16,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
0.94,-1.26,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
-0.03,-1.97,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
-0.08,-2.29,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
0.57,-1.42,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
2.34,0.46,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
2.42,4.03,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.66,2.24,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.14,1.53,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.19,1.39,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
