"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.6,2.17,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
3.06,2.95,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
2.78,2.93,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
2.43,3.14,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
1.99,2.13,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
3.28,3.58,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
2.88,3.1,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
3.59,4.16,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
2.97,3.54,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
2.23,2.24,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
1.97,2.08,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
2.42,2.27,"rcp45",2035,2065,2050,1990,"relative","MIROC-ESM"
