"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.62,1.71,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.19,1.13,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.49,2.65,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.26,3.1,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.42,3.17,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.77,2.32,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.99,3.49,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
3,3,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.34,2.35,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.29,1.8,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
0.99,0.99,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.45,2.45,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
