"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.93,2.59,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.66,1.2,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.17,2.18,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.02,1.2,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.08,1.12,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.08,1.53,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.89,2.53,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.35,2.94,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.89,2.01,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.71,1.87,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.67,2.59,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.7,2.26,"rcp45",2035,2065,2050,1990,"relative","bcc-csm1-1"
