"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.58,1.12,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.41,1.57,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.57,1.51,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
0.91,0.91,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
0.85,0.19,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.73,1.63,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.72,2.04,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
2.08,2.42,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.54,1.39,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.27,1.61,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
0.91,1,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
3,2.2,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
