"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.99,2.81,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.71,2.13,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.67,2.14,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.4,2.15,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.72,0.79,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.88,2.03,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.5,2.54,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.65,2.88,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.8,3.31,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.73,1.64,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.29,1.9,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
3.03,2.63,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
