"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.9,2.54,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.56,1.79,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.34,1.69,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.1,1.8,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.46,2.65,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
1.41,1.55,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
1,1.44,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.94,1.66,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
1.77,2.47,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.91,1.42,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.12,1.52,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
2.77,1.91,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
