"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","ACCESS-CM2",2100,97.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2001,NA
"SSP1 2050","AWI-CM-1-1-MR",2002,112.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2003,103.5
"SSP1 2050","AWI-CM-1-1-MR",2004,99
"SSP1 2050","AWI-CM-1-1-MR",2005,95.125
"SSP1 2050","AWI-CM-1-1-MR",2006,97.5
"SSP1 2050","AWI-CM-1-1-MR",2007,99.25
"SSP1 2050","AWI-CM-1-1-MR",2008,102.125
"SSP1 2050","AWI-CM-1-1-MR",2009,99.0416666666667
"SSP1 2050","AWI-CM-1-1-MR",2010,98.2083333333333
"SSP1 2050","AWI-CM-1-1-MR",2011,95
"SSP1 2050","AWI-CM-1-1-MR",2012,107.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2013,97.9166666666667
"SSP1 2050","AWI-CM-1-1-MR",2014,104.416666666667
"SSP1 2050","AWI-CM-1-1-MR",2015,114.25
"SSP1 2050","AWI-CM-1-1-MR",2016,107
"SSP1 2050","AWI-CM-1-1-MR",2017,102.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2018,101.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2019,115.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2020,99.7083333333333
"SSP1 2050","AWI-CM-1-1-MR",2021,100.958333333333
"SSP1 2050","AWI-CM-1-1-MR",2022,95.5
"SSP1 2050","AWI-CM-1-1-MR",2023,102.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2024,101.375
"SSP1 2050","AWI-CM-1-1-MR",2025,102.083333333333
"SSP1 2050","AWI-CM-1-1-MR",2026,89.2083333333333
"SSP1 2050","AWI-CM-1-1-MR",2027,89.0416666666667
"SSP1 2050","AWI-CM-1-1-MR",2028,89.4583333333333
"SSP1 2050","AWI-CM-1-1-MR",2029,94.25
"SSP1 2050","AWI-CM-1-1-MR",2030,104.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2031,98.4166666666667
"SSP1 2050","AWI-CM-1-1-MR",2032,92.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2033,101.5
"SSP1 2050","AWI-CM-1-1-MR",2034,103.083333333333
"SSP1 2050","AWI-CM-1-1-MR",2035,108.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2036,101.083333333333
"SSP1 2050","AWI-CM-1-1-MR",2037,112.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2038,106.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2039,122.041666666667
"SSP1 2050","AWI-CM-1-1-MR",2040,95.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2041,89.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2042,104.958333333333
"SSP1 2050","AWI-CM-1-1-MR",2043,104.625
"SSP1 2050","AWI-CM-1-1-MR",2044,94
"SSP1 2050","AWI-CM-1-1-MR",2045,107.25
"SSP1 2050","AWI-CM-1-1-MR",2046,115.083333333333
"SSP1 2050","AWI-CM-1-1-MR",2047,99
"SSP1 2050","AWI-CM-1-1-MR",2048,104.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2049,107.666666666667
"SSP1 2050","AWI-CM-1-1-MR",2050,100.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2051,114.375
"SSP1 2050","AWI-CM-1-1-MR",2052,115.25
"SSP1 2050","AWI-CM-1-1-MR",2053,98.75
"SSP1 2050","AWI-CM-1-1-MR",2054,99.5
"SSP1 2050","AWI-CM-1-1-MR",2055,91.125
"SSP1 2050","AWI-CM-1-1-MR",2056,95.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2057,103.625
"SSP1 2050","AWI-CM-1-1-MR",2058,99.75
"SSP1 2050","AWI-CM-1-1-MR",2059,102.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2060,102.375
"SSP1 2050","AWI-CM-1-1-MR",2061,105.583333333333
"SSP1 2050","AWI-CM-1-1-MR",2062,108.416666666667
"SSP1 2050","AWI-CM-1-1-MR",2063,102.041666666667
"SSP1 2050","AWI-CM-1-1-MR",2064,113.041666666667
"SSP1 2050","AWI-CM-1-1-MR",2065,91.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2066,97.875
"SSP1 2050","AWI-CM-1-1-MR",2067,91.2083333333333
"SSP1 2050","AWI-CM-1-1-MR",2068,98.9583333333333
"SSP1 2050","AWI-CM-1-1-MR",2069,98.375
"SSP1 2050","AWI-CM-1-1-MR",2070,92.0833333333333
"SSP1 2050","AWI-CM-1-1-MR",2071,98.875
"SSP1 2050","AWI-CM-1-1-MR",2072,104.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2073,92.9583333333333
"SSP1 2050","AWI-CM-1-1-MR",2074,100.333333333333
"SSP1 2050","AWI-CM-1-1-MR",2075,100.583333333333
"SSP1 2050","AWI-CM-1-1-MR",2076,107.125
"SSP1 2050","AWI-CM-1-1-MR",2077,97.125
"SSP1 2050","AWI-CM-1-1-MR",2078,111.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2079,90.6666666666667
"SSP1 2050","AWI-CM-1-1-MR",2080,94.4583333333333
"SSP1 2050","AWI-CM-1-1-MR",2081,79.125
"SSP1 2050","AWI-CM-1-1-MR",2082,107.625
"SSP1 2050","AWI-CM-1-1-MR",2083,118.041666666667
"SSP1 2050","AWI-CM-1-1-MR",2084,94
"SSP1 2050","AWI-CM-1-1-MR",2085,103.375
"SSP1 2050","AWI-CM-1-1-MR",2086,110.041666666667
"SSP1 2050","AWI-CM-1-1-MR",2087,107.875
"SSP1 2050","AWI-CM-1-1-MR",2088,92.7916666666667
"SSP1 2050","AWI-CM-1-1-MR",2089,101.375
"SSP1 2050","AWI-CM-1-1-MR",2090,104.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2091,113.375
"SSP1 2050","AWI-CM-1-1-MR",2092,106.833333333333
"SSP1 2050","AWI-CM-1-1-MR",2093,109.666666666667
"SSP1 2050","AWI-CM-1-1-MR",2094,104.125
"SSP1 2050","AWI-CM-1-1-MR",2095,121.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2096,87.75
"SSP1 2050","AWI-CM-1-1-MR",2097,121.208333333333
"SSP1 2050","AWI-CM-1-1-MR",2098,106.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2099,102.125
"SSP1 2050","AWI-CM-1-1-MR",2100,95.4583333333333
"SSP1 2050","CMCC-ESM2",2001,NA
"SSP1 2050","CMCC-ESM2",2002,111.291666666667
"SSP1 2050","CMCC-ESM2",2003,103.083333333333
"SSP1 2050","CMCC-ESM2",2004,96.375
"SSP1 2050","CMCC-ESM2",2005,94.3333333333333
"SSP1 2050","CMCC-ESM2",2006,96.3333333333333
"SSP1 2050","CMCC-ESM2",2007,98.125
"SSP1 2050","CMCC-ESM2",2008,102.25
"SSP1 2050","CMCC-ESM2",2009,98.5833333333333
"SSP1 2050","CMCC-ESM2",2010,97.2083333333333
"SSP1 2050","CMCC-ESM2",2011,95.9583333333333
"SSP1 2050","CMCC-ESM2",2012,106.166666666667
"SSP1 2050","CMCC-ESM2",2013,97.2083333333333
"SSP1 2050","CMCC-ESM2",2014,104.041666666667
"SSP1 2050","CMCC-ESM2",2015,113.166666666667
"SSP1 2050","CMCC-ESM2",2016,105.25
"SSP1 2050","CMCC-ESM2",2017,101.166666666667
"SSP1 2050","CMCC-ESM2",2018,101.041666666667
"SSP1 2050","CMCC-ESM2",2019,115.166666666667
"SSP1 2050","CMCC-ESM2",2020,99.9166666666667
"SSP1 2050","CMCC-ESM2",2021,99.5416666666667
"SSP1 2050","CMCC-ESM2",2022,95.625
"SSP1 2050","CMCC-ESM2",2023,103.041666666667
"SSP1 2050","CMCC-ESM2",2024,101.5
"SSP1 2050","CMCC-ESM2",2025,102.166666666667
"SSP1 2050","CMCC-ESM2",2026,84.7916666666667
"SSP1 2050","CMCC-ESM2",2027,88.5
"SSP1 2050","CMCC-ESM2",2028,89.875
"SSP1 2050","CMCC-ESM2",2029,94
"SSP1 2050","CMCC-ESM2",2030,104.041666666667
"SSP1 2050","CMCC-ESM2",2031,95.9583333333333
"SSP1 2050","CMCC-ESM2",2032,91.2916666666667
"SSP1 2050","CMCC-ESM2",2033,101.375
"SSP1 2050","CMCC-ESM2",2034,102.958333333333
"SSP1 2050","CMCC-ESM2",2035,107.25
"SSP1 2050","CMCC-ESM2",2036,100.333333333333
"SSP1 2050","CMCC-ESM2",2037,112.083333333333
"SSP1 2050","CMCC-ESM2",2038,106.166666666667
"SSP1 2050","CMCC-ESM2",2039,122.25
"SSP1 2050","CMCC-ESM2",2040,93.875
"SSP1 2050","CMCC-ESM2",2041,86.6666666666667
"SSP1 2050","CMCC-ESM2",2042,104.166666666667
"SSP1 2050","CMCC-ESM2",2043,103.583333333333
"SSP1 2050","CMCC-ESM2",2044,93.3333333333333
"SSP1 2050","CMCC-ESM2",2045,108.208333333333
"SSP1 2050","CMCC-ESM2",2046,115.416666666667
"SSP1 2050","CMCC-ESM2",2047,99.0416666666667
"SSP1 2050","CMCC-ESM2",2048,104.125
"SSP1 2050","CMCC-ESM2",2049,106.875
"SSP1 2050","CMCC-ESM2",2050,100.291666666667
"SSP1 2050","CMCC-ESM2",2051,115.125
"SSP1 2050","CMCC-ESM2",2052,115
"SSP1 2050","CMCC-ESM2",2053,99.4166666666667
"SSP1 2050","CMCC-ESM2",2054,99.0833333333333
"SSP1 2050","CMCC-ESM2",2055,90.9583333333333
"SSP1 2050","CMCC-ESM2",2056,95.2083333333333
"SSP1 2050","CMCC-ESM2",2057,104
"SSP1 2050","CMCC-ESM2",2058,99.75
"SSP1 2050","CMCC-ESM2",2059,102.25
"SSP1 2050","CMCC-ESM2",2060,102.083333333333
"SSP1 2050","CMCC-ESM2",2061,105.708333333333
"SSP1 2050","CMCC-ESM2",2062,109.083333333333
"SSP1 2050","CMCC-ESM2",2063,101.125
"SSP1 2050","CMCC-ESM2",2064,104.125
"SSP1 2050","CMCC-ESM2",2065,90.7083333333333
"SSP1 2050","CMCC-ESM2",2066,96.25
"SSP1 2050","CMCC-ESM2",2067,89.25
"SSP1 2050","CMCC-ESM2",2068,99.25
"SSP1 2050","CMCC-ESM2",2069,101.041666666667
"SSP1 2050","CMCC-ESM2",2070,93.25
"SSP1 2050","CMCC-ESM2",2071,101.041666666667
