"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"131",10,-18,23,0,5.99304794999246
"132",10,-18,24,0,6.31313772779293
"133",10,-18,25,0,5.58948838921487
"134",10,-18,26,0,3.83383249785476
"135",10,-18,27,0,4.05832447575451
"136",10,-18,28,0,4.03155928000167
"137",10,-18,29,0,2.52805797404469
"138",10,-18,30,0,2.62297981165061
"139",10,-17,-15,0,0
"140",10,-17,-14,0,0
"141",10,-17,-13,0,0
"142",10,-17,-12,0,0
"143",10,-17,-11,0,0
"144",10,-17,-10,0,0
"145",10,-17,-9,0,0
"146",10,-17,-8,0,0
"147",10,-17,-7,0,0
"148",10,-17,-6,0,0
"149",10,-17,-5,0,0
"150",10,-17,-4,0,0
"151",10,-17,-3,0,0
"152",10,-17,-2,0.0000000314528826822497,0
"153",10,-17,-1,0.000000695319563260185,0
"154",10,-17,0,0.0000140035837810825,0
"155",10,-17,1,0.00027241755585208,0
"156",10,-17,2,0.0051204325443416,0
"157",10,-17,3,0.079019059175931,0
"158",10,-17,4,0.294430939730559,0
"159",10,-17,5,0.331612128467092,0.00909301138750722
"160",10,-17,6,0.306927513510614,0.0503894465732719
"161",10,-17,7,0.342713845170722,0.134554960554953
"162",10,-17,8,0.360181607526883,0.270433241734961
"163",10,-17,9,0.324693239132524,0.455579421951235
"164",10,-17,10,0.331246138864772,0.691850695711581
"165",10,-17,11,0.355877079907111,0.981441138475721
"166",10,-17,12,0.365459353965487,1.31944448147356
"167",10,-17,13,0.33340172947749,1.69855731462388
"168",10,-17,14,0.299117808640002,2.11089844106844
"169",10,-17,15,0.292237397155049,2.54926279675508
"170",10,-17,16,0.285059241637228,3.00654267592026
"171",10,-17,17,0.281934250840559,3.47517256899295
"172",10,-17,18,0.311073205376615,3.94724970622623
"173",10,-17,19,0.236752154306871,4.41434513045175
"174",10,-17,20,0.228462047670001,4.86808639936119
"175",10,-17,21,0.0968853284564013,5.30006270631832
"176",10,-17,22,0,5.70212945788211
"177",10,-17,23,0,6.06706944527491
"178",10,-17,24,0,6.38884414838353
"179",10,-17,25,0,5.66622942015221
"180",10,-17,26,0,3.91170062579615
"181",10,-17,27,0,4.13736044523384
"182",10,-17,28,0,3.93729298755323
"183",10,-17,29,0,2.5344668596887
"184",10,-17,30,0,2.70905554459416
"185",10,-16,-15,0,0
"186",10,-16,-14,0,0
"187",10,-16,-13,0,0
"188",10,-16,-12,0,0
"189",10,-16,-11,0,0
"190",10,-16,-10,0,0
"191",10,-16,-9,0,0
"192",10,-16,-8,0,0
"193",10,-16,-7,0,0
"194",10,-16,-6,0,0
"195",10,-16,-5,0,0
"196",10,-16,-4,0,0
"197",10,-16,-3,0,0
"198",10,-16,-2,0.0000000347566715891541,0
"199",10,-16,-1,0.000000718425458222251,0
"200",10,-16,0,0.0000143929489464031,0
"201",10,-16,1,0.000279408003731222,0
"202",10,-16,2,0.00525405714638633,0
"203",10,-16,3,0.0808908441538622,0
"204",10,-16,4,0.295082285645057,0
"205",10,-16,5,0.350238175830849,0.00937201357501548
"206",10,-16,6,0.324442182666658,0.0513119203309868
"207",10,-16,7,0.361131254412745,0.13777921004071
"208",10,-16,8,0.364729195660925,0.276058403992905
"209",10,-16,9,0.339698697534567,0.464107289311214
"210",10,-16,10,0.344911971436472,0.705368092846737
"211",10,-16,11,0.356545960663018,1.00055460046546
"212",10,-16,12,0.369721283493892,1.3437969442893
