"Treatment","Month","Tmin","Tmax","Year","SSP_Time","month_name"
NA,6,11.7033333333333,20.1166666666667,1979,"Past combined","June"
NA,6,10.5433333333333,17.7066666666667,1988,"Past combined","June"
NA,6,9.19666666666667,16.95,1991,"Past combined","June"
NA,6,7.87500375833333,20.63,1962,"Past combined","June"
NA,6,10.9,29.4966666666667,2003,"Past combined","June"
31,6,12.3844594252873,25.936487183908,31,"Past combined","June"
NA,6,12.7133333333333,22.28,2007,"Past combined","June"
NA,7,12.3,18.3935483870968,1965,"Past combined","July"
NA,7,10.3516129032258,19.5354838709677,1978,"Past combined","July"
NA,7,10.3709677419355,21.6935483870968,2000,"Past combined","July"
NA,7,10.9483870967742,24.5354838709677,2004,"Past combined","July"
NA,7,11.7774193548387,27.5354838709677,2001,"Past combined","July"
NA,7,13.9806451612903,31.1161290322581,2006,"Past combined","July"
NA,7,15.3225806451613,27.641935483871,1994,"Past combined","July"
NA,8,12.1,19.8387096774194,1987,"Past combined","August"
NA,8,11.5838709677419,19.4870967741935,1977,"Past combined","August"
NA,8,10.8645161290323,19.7129032258064,1978,"Past combined","August"
NA,8,10.7709677419355,19.8193548387097,1979,"Past combined","August"
NA,8,9.96451612903226,21.9064516129032,1993,"Past combined","August"
NA,8,10.0129032258065,23.4032258064516,2005,"Past combined","August"
NA,8,11.8548387096774,29.5032258064516,2003,"Past combined","August"
NA,8,14.2387096774194,26.3032258064516,1997,"Past combined","August"
NA,8,13.8903225806452,23.0645161290323,1992,"Past combined","August"
NA,9,11.0166666666667,18.0933333333333,1998,"Past combined","September"
NA,9,9.90666666666667,15.8033333333333,1984,"Past combined","September"
NA,9,6.08666666666667,16.4833333333333,1972,"Past combined","September"
NA,9,5.41,18.3566666666667,1971,"Past combined","September"
NA,9,5.48333333333333,22.5333333333333,1959,"Past combined","September"
NA,9,6.86333333333333,22.98,2002,"Past combined","September"
NA,9,12.1966666666667,24.51,2006,"Past combined","September"
NA,9,13.1766666666667,23.2866666666667,1999,"Past combined","September"
NA,10,7.99354838709677,13.5161290322581,1982,"Past combined","October"
NA,10,5.15483870967742,9.54193548387097,1974,"Past combined","October"
NA,10,1.53548387096774,12.4129032258065,2003,"Past combined","October"
NA,10,3.5258064516129,16.7387096774194,1959,"Past combined","October"
31,10,8.75251995794039,20.3769609290406,31,"Past combined","October"
NA,10,9.93870967741936,17.9741935483871,2001,"Past combined","October"
NA,11,2.905,6.795,1958,"Past combined","November"
NA,11,-0.463333333333333,4.62333333333333,1985,"Past combined","November"
NA,11,-0.87,4.45333333333333,1993,"Past combined","November"
30,11,4.21944444444444,18.5375,30,"Past combined","November"
NA,11,6.84,12.1266666666667,1994,"Past combined","November"
NA,12,0.206451612903226,3.96451612903226,1967,"Past combined","December"
NA,12,-4.31935483870968,-0.0387096774193548,1969,"Past combined","December"
NA,12,-5.09806451612903,0.463870967741935,2010,"Past combined","December"
NA,12,-4.90645161290323,1.11290322580645,1963,"Past combined","December"
30,12,3.20295698924731,15.8951612903226,30,"Past combined","December"
21,12,4.59144903225806,14.140705483871,21,"Past combined","December"
NA,12,5.60548387096774,11.7216129032258,2015,"Past combined","December"
NA,12,5.06774193548387,8.96774193548387,1974,"Past combined","December"
NA,12,4.13870967741935,7.54838709677419,1988,"Past combined","December"
NA,1,2.50967741935484,5.72258064516129,1976,"Past combined","January"
NA,1,-2.44838709677419,1.56451612903226,1996,"Past combined","January"
NA,1,-5.98709677419355,-1.23548387096774,1987,"Past combined","January"
NA,1,-10.258064516129,-3.62258064516129,1963,"Past combined","January"
24,1,2.79032258064516,16.8131720430107,24,"Past combined","January"
5,1,8.96538709677419,22.2033629032258,5,"Past combined","January"
NA,1,4.54838709677419,8.92258064516129,1975,"Past combined","January"
NA,2,4.15357142857143,9.6,1966,"Past combined","February"
NA,2,1.65172413793103,6.47931034482759,1988,"Past combined","February"
NA,2,0.482142857142857,5.08571428571429,1971,"Past combined","February"
NA,2,-2.23571428571429,1.93214285714286,1965,"Past combined","February"
NA,2,-9.50357142857143,-1.20357142857143,1986,"Past combined","February"
NA,2,-9.90357142857143,-1.33928571428571,1963,"Past combined","February"
10,2,2.808,19.9731428571429,10,"Past combined","February"
11,2,10.1868392857143,27.6404107142857,11,"Past combined","February"
5,2,10.7171160714286,27.9245803571429,5,"Past combined","February"
NA,3,5.74838709677419,11.8129032258065,1981,"Past combined","March"
NA,3,1.80967741935484,7.01935483870968,1988,"Past combined","March"
NA,3,0.0258064516129032,6.04193548387097,1970,"Past combined","March"
NA,3,-1.63548387096774,5.52903225806452,1971,"Past combined","March"
NA,3,-2.67741935483871,5.23870967741935,1958,"Past combined","March"
NA,3,-3.30322580645161,5.4258064516129,1962,"Past combined","March"
30,3,3.73756467741935,25.3244472580645,30,"Past combined","March"
24,3,9.29489247311827,25.5697311827957,24,"Past combined","March"
4,3,9.53001612903226,25.3816774193548,4,"Past combined","March"
NA,4,7.16,14.9533333333333,1961,"Past combined","April"
NA,4,3.68,9.49333333333333,1970,"Past combined","April"
NA,4,3.26333333333333,9.57333333333333,1986,"Past combined","April"
NA,4,1.72,10.0933333333333,1973,"Past combined","April"
NA,4,1.55666666666667,11.45,1958,"Past combined","April"
NA,4,2.13666666666667,17.0233333333333,2003,"Past combined","April"
30,4,5.46430266666667,31.3735305,30,"Past combined","April"
22,4,6.03175733333333,33.0426493333333,22,"Past combined","April"
18,4,7.66805555555556,34.2055555555556,18,"Past combined","April"
NA,5,7.17096774193548,14.1354838709677,1962,"Past combined","May"
NA,5,6.68064516129032,13.5935483870968,1984,"Past combined","May"
NA,5,5.7258064516129,13.8612903225806,1987,"Past combined","May"
NA,5,4.86451612903226,14.2677419354839,1991,"Past combined","May"
NA,5,4.64193548387097,17.4451612903226,1980,"Past combined","May"
24,5,6.68780153479559,29.2232771731191,24,"Past combined","May"
NA,5,9.89354838709678,20.2709677419355,2000,"Past combined","May"
NA,5,9.58064516129032,19.3709677419355,2007,"Past combined","May"
NA,6,12.9616427573685,21.553579253651,2037,"SSP1 2050","June"
NA,6,9.14093999289242,19.9882147811789,2076,"SSP1 2050","June"
NA,6,8.61238100617597,19.8553205930921,2091,"SSP1 2050","June"
NA,6,9.07011422275852,22.2648040430131,2035,"SSP1 2050","June"
NA,6,9.37926976837841,23.2903251696232,2039,"SSP1 2050","June"
NA,6,11.1731135308085,26.3377144081724,2009,"SSP1 2050","June"
NA,6,12.0990138687667,27.1000166015906,2066,"SSP1 2050","June"
NA,6,17.0098331799565,29.7175236642963,2079,"SSP1 2050","June"
NA,6,15.7426275651233,25.2679255147245,2008,"SSP1 2050","June"
NA,7,13.8004768977048,22.1520847642624,2001,"SSP1 2050","July"
NA,7,10.7604416719463,22.6838851056828,2075,"SSP1 2050","July"
NA,7,9.75075042594782,23.9703452473071,2021,"SSP1 2050","July"
NA,7,13.0059133961884,27.7527757659578,2056,"SSP1 2050","July"
NA,7,15.6413438100325,30.5163249584235,2088,"SSP1 2050","July"
NA,7,16.3098143343939,30.9870563249598,2044,"SSP1 2050","July"
NA,7,19.1176459609255,32.5696955113094,2048,"SSP1 2050","July"
NA,7,17.8396887783926,28.4502947370225,2037,"SSP1 2050","July"
NA,8,13.9146292203454,22.526219626818,2063,"SSP1 2050","August"
NA,8,13.2235814806159,21.6825712234387,2076,"SSP1 2050","August"
NA,8,10.5381438354609,20.8072337444817,2089,"SSP1 2050","August"
NA,8,10.8899728110619,24.0740812039906,2074,"SSP1 2050","August"
NA,8,12.6888405598431,26.9461282561148,2026,"SSP1 2050","August"
NA,8,14.8535420463635,29.3534613973488,2025,"SSP1 2050","August"
NA,8,16.6278066163506,31.1966089918211,2085,"SSP1 2050","August"
NA,8,18.2151924111895,29.5522135776434,2091,"SSP1 2050","August"
NA,8,17.6610989727115,27.6132868633997,2052,"SSP1 2050","August"
NA,9,11.4240809115474,19.406695625837,2025,"SSP1 2050","September"
NA,9,8.86919709697541,16.4102824910576,2012,"SSP1 2050","September"
NA,9,8.53041335291081,18.5905535501137,2076,"SSP1 2050","September"
NA,9,8.31324120848444,20.2168251381143,2028,"SSP1 2050","September"
NA,9,8.28198135427221,21.2593377241365,2061,"SSP1 2050","September"
NA,9,8.73037881517335,22.3723444988512,2021,"SSP1 2050","September"
NA,9,11.1543907556087,24.564055724197,2094,"SSP1 2050","September"
NA,9,13.4499834485689,25.6568958602327,2100,"SSP1 2050","September"
NA,9,14.5599732581361,25.0767922471387,2091,"SSP1 2050","September"
NA,9,13.4548034854924,22.1588303444901,2058,"SSP1 2050","September"
NA,10,9.74534274721904,16.6078118967087,2064,"SSP1 2050","October"
NA,10,6.69167569801358,13.7027677638325,2063,"SSP1 2050","October"
NA,10,4.38054570769885,12.6521775418998,2098,"SSP1 2050","October"
NA,10,4.49646792914091,14.4944482399866,2100,"SSP1 2050","October"
NA,10,8.47279442544094,19.7479278109073,2068,"SSP1 2050","October"
NA,10,10.8920857586013,21.9456049577592,2053,"SSP1 2050","October"
NA,10,11.8170187556042,20.00110047069,2046,"SSP1 2050","October"
NA,10,11.3532827513683,19.1726913453361,2093,"SSP1 2050","October"
NA,10,10.2710780465701,17.3147772651127,2027,"SSP1 2050","October"
NA,11,3.97467339957624,8.99948555602011,2013,"SSP1 2050","November"
NA,11,3.15867899901008,8.20184975088311,2079,"SSP1 2050","November"
NA,11,0.179700856795404,5.74857216275377,2064,"SSP1 2050","November"
NA,11,-0.980260636108048,5.15977257105786,2062,"SSP1 2050","November"
NA,11,1.38306575739152,9.10705423942508,2028,"SSP1 2050","November"
NA,11,1.96349110840499,10.0315410857736,2033,"SSP1 2050","November"
NA,11,3.37947331392711,12.0993262617057,2045,"SSP1 2050","November"
NA,11,8.39322703818372,15.65387468317,2074,"SSP1 2050","November"
NA,11,8.20212111956763,14.4330041281206,2097,"SSP1 2050","November"
NA,11,7.35479318447983,12.9883035569592,2052,"SSP1 2050","November"
NA,11,5.55202066015949,10.6252812905822,2024,"SSP1 2050","November"
NA,12,0.227802501724378,4.11995100289192,2018,"SSP1 2050","December"
NA,12,-2.00806914883741,2.80118235095265,2084,"SSP1 2050","December"
NA,12,-5.15318059510923,1.1565651940822,2026,"SSP1 2050","December"
NA,12,0.777365582404619,7.41677449929475,2030,"SSP1 2050","December"
NA,12,1.80296558917547,8.49449371312854,2085,"SSP1 2050","December"
NA,12,4.71175708311982,11.0977545609602,2086,"SSP1 2050","December"
NA,12,6.02756390363168,12.1036152243905,2081,"SSP1 2050","December"
NA,12,5.02974644485756,9.63569310782751,2042,"SSP1 2050","December"
NA,12,3.9583046950239,7.80566673771435,2070,"SSP1 2050","December"
NA,1,0.290969899742217,3.91324648792216,2072,"SSP1 2050","January"
NA,1,-3.46055680428919,0.945547356720962,2022,"SSP1 2050","January"
NA,1,-3.75741476357071,1.19599815915757,2048,"SSP1 2050","January"
NA,1,-3.53129262726096,2.32122173884196,2015,"SSP1 2050","January"
NA,1,-1.54825956681771,5.95077668140452,2004,"SSP1 2050","January"
NA,1,2.74039966443645,10.2324477852269,2005,"SSP1 2050","January"
NA,1,4.46886193689987,11.3130772763282,2066,"SSP1 2050","January"
NA,1,6.33933567724823,12.1069585828426,2069,"SSP1 2050","January"
NA,1,5.7615309338035,10.9078985197332,2006,"SSP1 2050","January"
NA,1,4.4917782101551,8.91372871328131,2081,"SSP1 2050","January"
NA,2,1.92872712999298,6.15599122214543,2011,"SSP1 2050","February"
NA,2,-1.35436596562906,2.94951642950444,2062,"SSP1 2050","February"
NA,2,-3.09248189306403,2.53749418398257,2091,"SSP1 2050","February"
NA,2,-4.12499404687473,5.43707328449407,2068,"SSP1 2050","February"
NA,2,4.19470986641825,12.2296700564331,2076,"SSP1 2050","February"
