"Year","pheno","Predicted"
1959,104,104.791666666667
1960,110,104.291666666667
1962,129,126.291666666667
1963,125,123.958333333333
1964,120,124.375
1965,125,123.958333333333
1967,110,118.333333333333
1968,112,114.416666666667
1969,123,124.708333333333
1971,120,125.333333333333
1973,126,131.166666666667
1974,101,101.208333333333
1976,117,118.208333333333
1979,132,134.291666666667
1981,103,101.083333333333
1982,126,128.208333333333
1983,118,119.208333333333
1984,130,127.25
1985,132,126.291666666667
1986,129,128.166666666667
1989,105,109.083333333333
1990,90,91.9583333333333
1991,105,103.916666666667
1992,114,117.25
1994,113,113.916666666667
1999,109,105.958333333333
2001,118,119.125
2004,109,104.125
2006,123,115.5
2007,105,105.375
2008,114,116.083333333333
2010,114,115.083333333333
2011,96,100.041666666667
2012,107,113.833333333333
2013,121,116.333333333333
2015,111,115.291666666667
2018,109,107.125
2019,101,100.208333333333
2023,106,90.9583333333333
2024,85,72.1666666666667
2026,57,56.4583333333333
2027,43,53.0416666666667
2033,43,45.3333333333333
2038,43,45.5833333333333
2039,98,98.2916666666667
2042,98,90.125
2044,87,79.9583333333333
2046,60,57.7916666666667
2052,87,87.375
2053,77,74.9166666666667
