"Scen_year","Year","Pheno"
"1980",2001,NA
"1980",2002,132.375
"1980",2003,118.041666666667
"1980",2004,124.083333333333
"1980",2005,122.125
"1980",2006,108.541666666667
"1980",2007,114.541666666667
"1980",2008,127.291666666667
"1980",2009,113.958333333333
"1980",2010,116.041666666667
"1980",2011,113.791666666667
"1980",2012,119.958333333333
"1980",2013,112.166666666667
"1980",2014,124.458333333333
"1980",2015,136.208333333333
"1980",2016,131.666666666667
"1980",2017,126.791666666667
"1980",2018,121.083333333333
"1980",2019,130.333333333333
"1980",2020,109.333333333333
"1980",2021,113.041666666667
"1980",2022,105.291666666667
"1980",2023,118.125
"1980",2024,126.166666666667
"1980",2025,123
"1980",2026,108.958333333333
"1980",2027,117
"1980",2028,115.291666666667
"1980",2029,108.083333333333
"1980",2030,123.25
"1980",2031,118.208333333333
"1980",2032,127.125
"1980",2033,128.208333333333
"1980",2034,115.541666666667
"1980",2035,121.333333333333
"1980",2036,116.375
"1980",2037,125.041666666667
"1980",2038,124.208333333333
"1980",2039,133.75
"1980",2040,127.25
"1980",2041,121.375
"1980",2042,121.208333333333
"1980",2043,112.125
"1980",2044,114.916666666667
"1980",2045,128.083333333333
"1980",2046,129.791666666667
"1980",2047,115.041666666667
"1980",2048,116.916666666667
"1980",2049,123.166666666667
"1980",2050,117.666666666667
"1980",2051,132.291666666667
"1980",2052,130.166666666667
"1980",2053,121.125
"1980",2054,120.208333333333
"1980",2055,124.958333333333
"1980",2056,111.125
"1980",2057,120.458333333333
"1980",2058,109.458333333333
"1980",2059,117.208333333333
"1980",2060,117.166666666667
"1980",2061,122.125
"1980",2062,121.291666666667
"1980",2063,122.958333333333
"1980",2064,126.125
"1980",2065,102.375
"1980",2066,110.083333333333
"1980",2067,120.041666666667
"1980",2068,108.75
"1980",2069,108.458333333333
"1980",2070,118.583333333333
"1980",2071,124.291666666667
"1980",2072,131.5
"1980",2073,113.166666666667
"1980",2074,116
"1980",2075,110
"1980",2076,137.041666666667
"1980",2077,115.25
"1980",2078,125.333333333333
"1980",2079,121.916666666667
"1980",2080,112.083333333333
"1980",2081,99.25
"1980",2082,119.375
"1980",2083,145.25
"1980",2084,103.291666666667
"1980",2085,137
"1980",2086,128.833333333333
"1980",2087,116.791666666667
"1980",2088,98.375
"1980",2089,118.916666666667
"1980",2090,120.083333333333
"1980",2091,133.125
"1980",2092,120.208333333333
"1980",2093,122.125
"1980",2094,115.041666666667
"1980",2095,133.875
"1980",2096,109.166666666667
"1980",2097,133.041666666667
"1980",2098,130.375
"1980",2099,114.416666666667
"1980",2100,115.875
"1990",2001,NA
"1990",2002,129.25
"1990",2003,113.291666666667
"1990",2004,118.25
"1990",2005,104.291666666667
"1990",2006,103.25
"1990",2007,105.958333333333
"1990",2008,114
"1990",2009,106.458333333333
"1990",2010,113
"1990",2011,109.458333333333
"1990",2012,116.125
"1990",2013,106.916666666667
"1990",2014,120.125
"1990",2015,129.083333333333
"1990",2016,125
"1990",2017,118.25
"1990",2018,115.708333333333
"1990",2019,127.125
"1990",2020,105.958333333333
"1990",2021,108.208333333333
"1990",2022,101.083333333333
"1990",2023,111.208333333333
"1990",2024,113.166666666667
"1990",2025,118.5
"1990",2026,100.041666666667
"1990",2027,109.083333333333
"1990",2028,102.333333333333
"1990",2029,103.125
"1990",2030,119.291666666667
"1990",2031,106.375
"1990",2032,118
"1990",2033,117
"1990",2034,112.125
"1990",2035,118.666666666667
"1990",2036,109.208333333333
"1990",2037,121.083333333333
"1990",2038,114.916666666667
"1990",2039,130.958333333333
"1990",2040,115.083333333333
"1990",2041,116.041666666667
"1990",2042,116.541666666667
"1990",2043,110
"1990",2044,105.583333333333
"1990",2045,120.375
"1990",2046,126
"1990",2047,105.583333333333
"1990",2048,113.875
"1990",2049,117.958333333333
"1990",2050,114.208333333333
"1990",2051,129.291666666667
"1990",2052,126.041666666667
"1990",2053,113.25
"1990",2054,113.25
"1990",2055,113
"1990",2056,104.125
"1990",2057,114.25
"1990",2058,106.208333333333
"1990",2059,114
"1990",2060,111.916666666667
"1990",2061,117.333333333333
"1990",2062,116.041666666667
"1990",2063,108.5
"1990",2064,123.125
"1990",2065,99.0416666666667
"1990",2066,105.958333333333
"1990",2067,108.291666666667
"1990",2068,107.166666666667
"1990",2069,104.666666666667
"1990",2070,115.5
"1990",2071,119.958333333333
"1990",2072,125.083333333333
"1990",2073,100.291666666667
"1990",2074,109.166666666667
"1990",2075,107.25
"1990",2076,124.125
"1990",2077,109.083333333333
"1990",2078,122
"1990",2079,114.916666666667
"1990",2080,106.333333333333
"1990",2081,92.2083333333333
"1990",2082,115.25
"1990",2083,138.916666666667
"1990",2084,101
"1990",2085,129.083333333333
