"","x"
"1",38.8372647975956
"2",181.202885724018
"3",0.122562881474664
"4",24.2093417651486
"5",3372.7960997328
"6",9900.3
"7",6001.95764295477
"8",59399481667419.9
"9",4.24629220575107
"10",24.4029543880797
"11",4
"12",2.94876896742455
