"Year","pheno","Predicted"
2020,115,126.083333333333
2021,98,97.0416666666667
2023,64,61.2916666666667
2024,49,40.5
2025,64,61.1666666666667
2027,100,87.25
2029,95,98.0416666666667
2031,113,122.125
2032,53,58.6666666666667
2038,112,96.1666666666667
2041,53,49.2916666666667
2045,67,56.5416666666667
2046,113,97.0833333333333
2048,115,112.083333333333
2049,99,89.5416666666667
2050,71,65.125
2053,112,135.125
2056,108,113.416666666667
2057,77,68.0416666666667
2058,101,88.2083333333333
2059,105,101.458333333333
2060,66,60.5
2061,119,81.125
2062,133,139.291666666667
2063,73,69.1666666666667
2064,94,89.0416666666667
2065,140,143.375
2066,97,82.125
2067,77,81.25
2068,91,94.0833333333333
2069,112,115.291666666667
2070,119,117.125
2073,112,133.333333333333
2077,108,97.625
2078,97,93.25
2079,112,110.5
2081,129,125.958333333333
2083,98,97.375
2084,112,114.125
2085,70,66
