"SSP_Time","GCM","Year","Frost"
"SSP1 2050","ACCESS-CM2",2002,25
"SSP1 2050","ACCESS-CM2",2003,7
"SSP1 2050","ACCESS-CM2",2004,0
"SSP1 2050","ACCESS-CM2",2005,9
"SSP1 2050","ACCESS-CM2",2006,0
"SSP1 2050","ACCESS-CM2",2007,14
"SSP1 2050","ACCESS-CM2",2008,0
"SSP1 2050","ACCESS-CM2",2009,17
"SSP1 2050","ACCESS-CM2",2010,0
"SSP1 2050","ACCESS-CM2",2011,5
"SSP1 2050","ACCESS-CM2",2012,0
"SSP1 2050","ACCESS-CM2",2013,0
"SSP1 2050","ACCESS-CM2",2014,0
"SSP1 2050","ACCESS-CM2",2015,34
"SSP1 2050","ACCESS-CM2",2016,0
"SSP1 2050","ACCESS-CM2",2017,5
"SSP1 2050","ACCESS-CM2",2018,0
"SSP1 2050","ACCESS-CM2",2019,0
"SSP1 2050","ACCESS-CM2",2020,0
"SSP1 2050","ACCESS-CM2",2021,0
"SSP1 2050","ACCESS-CM2",2022,0
"SSP1 2050","ACCESS-CM2",2023,0
"SSP1 2050","ACCESS-CM2",2024,8
"SSP1 2050","ACCESS-CM2",2025,1
"SSP1 2050","ACCESS-CM2",2026,2
"SSP1 2050","ACCESS-CM2",2027,0
"SSP1 2050","ACCESS-CM2",2028,0
"SSP1 2050","ACCESS-CM2",2029,0
"SSP1 2050","ACCESS-CM2",2030,2
"SSP1 2050","ACCESS-CM2",2031,5
"SSP1 2050","ACCESS-CM2",2032,0
"SSP1 2050","ACCESS-CM2",2033,0
"SSP1 2050","ACCESS-CM2",2034,2
"SSP1 2050","ACCESS-CM2",2035,29
"SSP1 2050","ACCESS-CM2",2036,0
"SSP1 2050","ACCESS-CM2",2037,0
"SSP1 2050","ACCESS-CM2",2038,1
"SSP1 2050","ACCESS-CM2",2039,11
"SSP1 2050","ACCESS-CM2",2040,0
"SSP1 2050","ACCESS-CM2",2041,4
"SSP1 2050","ACCESS-CM2",2042,1
"SSP1 2050","ACCESS-CM2",2043,0
"SSP1 2050","ACCESS-CM2",2044,0
"SSP1 2050","ACCESS-CM2",2045,0
"SSP1 2050","ACCESS-CM2",2046,0
"SSP1 2050","ACCESS-CM2",2047,0
"SSP1 2050","ACCESS-CM2",2048,4
"SSP1 2050","ACCESS-CM2",2049,0
"SSP1 2050","ACCESS-CM2",2050,7
"SSP1 2050","ACCESS-CM2",2051,0
