"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"2064/2065",2065,121,121,100,1538,1600,81.0069887190466,2794.80932819597,"simulated"
"2065/2066",2066,120,120,100,1624,1733,83.0976714213252,3172.29710502768,"simulated"
"2066/2067",2067,120,120,100,1824,1788,85.4368468806883,2588.72631641743,"simulated"
"2067/2068",2068,120,120,100,1622,1359,79.1281963779374,1484.22601603845,"simulated"
"2068/2069",2069,121,121,100,1524,1822,88.4257558811111,4102.61671755208,"simulated"
"2069/2070",2070,120,120,100,1453,1481.5,78.9906058488102,2901.29086683287,"simulated"
"2070/2071",2071,120,120,100,1715,1688.5,79.6672889352267,2686.54687771779,"simulated"
"2071/2072",2072,120,120,100,1548,1484,79.8685290461778,3302.88132761494,"simulated"
"2072/2073",2073,121,121,100,1530,1489.5,81.7809614728662,4275.90542394346,"simulated"
"2073/2074",2074,120,120,100,1652,1833.5,84.8004656885638,4044.52168621876,"simulated"
"2074/2075",2075,120,120,100,1366,1312,72.6869639181986,4598.34524461854,"simulated"
"2075/2076",2076,120,120,100,1261,1552,80.7450479961699,4773.77122797034,"simulated"
"2076/2077",2077,121,121,100,1795,1956,87.1800941467004,3586.396785792,"simulated"
"2077/2078",2078,120,120,100,1562,1329.5,77.896568006079,1695.29894084805,"simulated"
"2078/2079",2079,120,120,100,1680,1560,80.1331404566645,1229.65920371079,"simulated"
"2079/2080",2080,120,120,100,1758,1788.5,84.9465392993126,2420.47874138254,"simulated"
"2080/2081",2081,121,121,100,1736,1877.5,86.6434227932268,3781.46161010702,"simulated"
"2081/2082",2082,120,120,100,1718,1859.5,84.4414328764144,2789.19691034634,"simulated"
"2082/2083",2083,120,120,100,1769,1753.5,82.8618567449768,2835.30205102808,"simulated"
"2083/2084",2084,120,120,100,1616,1826.5,83.9777949960887,4073.58998317635,"simulated"
"2084/2085",2085,121,121,100,1586,1421.5,75.6417295648213,1974.01091717692,"simulated"
"2085/2086",2086,120,120,100,1671,1748,81.6447440202236,2162.49456925623,"simulated"
"2086/2087",2087,120,120,100,1760,1562,80.6983195688031,2125.35474113535,"simulated"
"2087/2088",2088,120,120,100,1825,1701,83.1439248208911,2011.84534087816,"simulated"
"2088/2089",2089,121,121,100,1618,1604.5,82.6512489754612,2799.75070314749,"simulated"
"2089/2090",2090,120,120,100,1766,1715.5,85.112619879076,1961.89411977875,"simulated"
"2090/2091",2091,120,120,100,1699,1471,80.4847403453506,1138.46414284121,"simulated"
"2091/2092",2092,120,120,100,1608,1540.5,82.0971550149481,1821.89967654844,"simulated"
"2092/2093",2093,121,121,100,1699,1509,79.9693387680515,1571.08366138494,"simulated"
"2093/2094",2094,120,120,100,1530,1729,83.9916598415998,3527.85172038718,"simulated"
"2094/2095",2095,120,120,100,1507,1659.5,82.4442537078901,2796.73959380947,"simulated"
"2095/2096",2096,120,120,100,1861,1830,86.1585117495217,2052.44009748773,"simulated"
"2096/2097",2097,121,121,100,1584,1686.5,83.0646582662393,4782.59304440115,"simulated"
"2097/2098",2098,120,120,100,1295,1391,79.5838927869433,4387.79435620714,"simulated"
"2098/2099",2099,120,120,100,1597,1582.5,82.3597522808387,2320.27280924902,"simulated"
"2099/2100",2100,120,120,100,1553,1575,80.2343632515061,2821.9874302009,"simulated"
