"Year","Month","Day","Tmin","Tmax","Data_source","Date"
1998,1,1,-2.778,11.722,"observed","2000-01-01"
1998,1,2,-2.778,12.222,"observed","2000-01-02"
1998,1,3,-6.722,2.222,"observed","2000-01-03"
1998,1,4,-8,-1,"observed","2000-01-04"
1998,1,5,-11.111,6.111,"observed","2000-01-05"
1998,1,6,0.611,7.778,"observed","2000-01-06"
1998,1,7,-2.222,7.778,"observed","2000-01-07"
1998,1,8,-6.722,5,"observed","2000-01-08"
1998,1,9,-7.222,5,"observed","2000-01-09"
1998,1,10,-7.778,0.611,"observed","2000-01-10"
1998,1,11,-11,-2.222,"observed","2000-01-11"
1998,1,12,-11,-8.889,"observed","2000-01-12"
1998,1,13,-17.778,-7.222,"observed","2000-01-13"
1998,1,14,-10,-3.889,"observed","2000-01-14"
1998,1,15,-10.611,1.722,"observed","2000-01-15"
1998,1,16,-9.389,3.278,"observed","2000-01-16"
1998,1,17,0,10.611,"observed","2000-01-17"
1998,1,18,0,11.111,"observed","2000-01-18"
1998,1,19,0,6.722,"observed","2000-01-19"
1998,1,20,-6.722,6.111,"observed","2000-01-20"
1998,1,21,-6.722,3.889,"observed","2000-01-21"
1998,1,22,-6,1,"observed","2000-01-22"
1998,1,23,0,2,"observed","2000-01-23"
1998,1,24,-2.222,3.889,"observed","2000-01-24"
1998,1,25,-3.278,7.778,"observed","2000-01-25"
1998,1,26,-3.278,4.389,"observed","2000-01-26"
1998,1,27,0,7,"observed","2000-01-27"
1998,1,28,-1.111,7,"observed","2000-01-28"
1998,1,29,1.722,7.778,"observed","2000-01-29"
1998,1,30,-3.889,7.778,"observed","2000-01-30"
1998,1,31,-0.611,8.889,"observed","2000-01-31"
1998,2,1,-3.278,7.778,"observed","2000-02-01"
1998,2,2,-3.278,5.611,"observed","2000-02-02"
1998,2,3,2,6.111,"observed","2000-02-03"
1998,2,4,3.889,8.278,"observed","2000-02-04"
1998,2,5,1.111,7.778,"observed","2000-02-05"
1998,2,6,0.611,7.222,"observed","2000-02-06"
1998,2,7,-2.222,10,"observed","2000-02-07"
1998,2,8,1,11.722,"observed","2000-02-08"
1998,2,9,-2.222,10.611,"observed","2000-02-09"
1998,2,10,-3.278,11.111,"observed","2000-02-10"
1998,2,11,0.611,8.278,"observed","2000-02-11"
1998,2,12,0,8.278,"observed","2000-02-12"
1998,2,13,3.889,11.111,"observed","2000-02-13"
1998,2,14,0,12.222,"observed","2000-02-14"
1998,2,15,0,10.611,"observed","2000-02-15"
1998,2,16,-3.889,9.389,"observed","2000-02-16"
1998,2,17,-3.889,9.389,"observed","2000-02-17"
1998,2,18,-1.111,10,"observed","2000-02-18"
1998,2,19,-1.111,10,"observed","2000-02-19"
1998,2,20,3.889,9.389,"observed","2000-02-20"
1998,2,21,1.722,10.611,"observed","2000-02-21"
1998,2,22,-0.611,10.611,"observed","2000-02-22"
1998,2,23,-3.889,9.389,"observed","2000-02-23"
1998,2,24,-5,10.611,"observed","2000-02-24"
1998,2,25,-5,10.611,"observed","2000-02-25"
1998,2,26,-5.611,9.389,"observed","2000-02-26"
1998,2,27,-4.389,8.889,"observed","2000-02-27"
1998,2,28,-5,8.889,"observed","2000-02-28"
1998,3,1,0.611,6.722,"observed","2000-03-01"
1998,3,2,5,11.111,"observed","2000-03-02"
1998,3,3,-3.889,10.611,"observed","2000-03-03"
1998,3,4,-3.889,10,"observed","2000-03-04"
1998,3,5,-4.389,8.889,"observed","2000-03-05"
1998,3,6,-3.889,7.778,"observed","2000-03-06"
1998,3,7,-4.389,10,"observed","2000-03-07"
1998,3,8,2.222,11.111,"observed","2000-03-08"
1998,3,9,0,12.222,"observed","2000-03-09"
1998,3,10,0,12.778,"observed","2000-03-10"
1998,3,11,-0.611,14.389,"observed","2000-03-11"
1998,3,12,4.389,16.722,"observed","2000-03-12"
1998,3,13,2.778,19.389,"observed","2000-03-13"
1998,3,14,2.222,20,"observed","2000-03-14"
