"location","Month","Tmax","Tmin","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
"Yakima",1,2.16386407119021,2.84892413793103,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",2,3.3010957730812,3.01004115684093,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",3,2.86995472747497,2.52143492769744,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",4,2.5452681868743,1.90030111234705,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",5,1.64810956618465,1.56041624026696,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",6,2.99490333704115,1.71336996662959,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",7,3.20232057842047,2.44894616240267,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",8,3.8391935483871,2.86457252502781,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",9,4.25390522803114,2.87789388209121,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",10,2.92741746384872,2.33544838709677,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",11,1.76126774193548,1.47847797552837,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",12,1.48783448275862,1.40640878754171,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",1,2.33151245828699,2.77223381535039,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",2,3.36984093437152,3.26079599555061,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",3,2.96659666295884,3.3087446051168,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",4,2.75101979977753,1.98018498331479,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",5,1.87772246941045,1.88299043381535,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",6,3.62549043381535,2.2871893214683,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",7,5.20278186874305,3.40068164627364,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",8,4.20957741935484,3.0932531701891,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",9,4.58907296996663,3.37300678531702,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",10,2.47161423804227,2.43215483870968,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",11,2.14326129032258,2.03355862068966,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",12,1.9390893214683,1.73864104560623,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",1,1.69229955506118,2.32426929922136,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",2,1.83194738598443,1.95205406006674,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",3,2.27834182424917,2.2391575083426,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",4,1.8952552836485,1.67222691879866,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",5,2.42808375973303,2.05456785317019,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",6,2.6113001112347,1.90861190211346,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",7,4.56425928809789,2.9075106785317,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",8,3.78862903225806,3.05517897664071,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",9,4.47161167964405,3.34761323692992,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",10,3.50820778642937,2.8684,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",11,1.94047419354839,1.66930700778643,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",12,1.59006996662959,1.62526040044494,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",1,3.18259955506118,4.19507252502781,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",2,3.65691835372636,3.44245083426029,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",3,3.52826440489433,3.3991575083426,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",4,3.25933270300334,2.44941401557286,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",5,3.05789343715239,2.62141301446051,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",6,4.86357107897664,3.14476996662959,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",7,5.76994638487208,4.24146551724138,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",8,5.75244193548387,4.56362091212458,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",9,4.92766329254727,4.04808420467186,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",10,3.5640852057842,3.61841290322581,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",11,2.80533225806452,2.74812636262514,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",12,2.95629254727475,3.03165717463849,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",1,1.73411245828699,2.10471768631813,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",2,2.66104738598443,2.78248631813126,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",3,2.94153214682981,2.63752847608454,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",4,1.99838754171302,1.87501078976641,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",5,2.38663537263626,2.02748398220245,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",6,2.9469936596218,2.11163125695217,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",7,3.76771090100111,2.78815583982202,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",8,4.00770967741936,3.29400155728587,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",9,4.08904716351502,3.45710033370412,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",10,2.63237552836485,2.18271612903226,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",11,1.73061290322581,1.47810700778643,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",12,1.68413125695217,1.79410556173526,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",1,3.74447052280311,4.4917531701891,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",2,4.48350545050056,4.55724115684093,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",3,3.9340063403782,3.70902202447164,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",4,3.56328754171301,2.92163337041157,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",5,4.33335795328142,3.26673882091213,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",6,6.08303882091213,4.08110867630701,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",7,8.27537541713015,6.30570745272525,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",8,8.11788064516129,6.63404994438265,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",9,7.35456329254728,6.49055194660734,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",10,4.81063359288098,4.3459,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",11,3.59578709677419,3.19139410456062,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",12,3.9777893214683,4.10267330367074,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",1,2.46090278086763,3.14340155728587,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",2,2.8488957730812,3.17405406006674,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",3,2.91106440489433,3.00520266963293,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",4,2.07482302558398,1.85865595105673,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",5,2.80047085650723,2.28526785317019,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",6,3.94455172413793,2.40556674082314,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",7,5.27685606229144,3.81408487208009,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",8,5.18093870967742,4.18675639599555,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",9,6.12771813125695,4.46373904338154,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",10,3.90032068965517,2.75234193548387,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",11,2.27176129032258,1.95401991101224,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",12,2.21221190211346,2.28882814238042,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Yakima",1,4.78468987764182,5.34834349276974,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",2,5.78605706340378,5.34380889877642,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",3,5.746519243604,5.01104783092325,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",4,4.49261657397108,3.76276240266963,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",5,4.79289666295884,3.72865494994438,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",6,7.30640656284761,4.77678286985539,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",7,9.4414850945495,7.39682358175751,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",8,9.86473870967742,8.45242413793103,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",9,8.49439232480534,7.8076616240267,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",10,6.20083359288098,5.24074193548387,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",11,4.28343870967742,3.88877152391546,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",12,4.83531190211346,4.9009829810901,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Yakima",1,1.92978320355951,1.71586407119021,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",2,1.36001735261402,2.18490812013348,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",3,1.43580378197998,1.94765806451613,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",4,1.08212413793104,1.99807708565072,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",5,-1.46070367074527,1.31371368186874,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",6,0.834625472747497,1.07674393770857,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",7,1.67363070077864,2.03229532814238,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",8,1.56139165739711,1.64345506117909,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",9,1.28876106785317,1.75905939933259,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",10,1.88277786429366,1.3216915461624,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",11,1.3482531701891,2.18091557285873,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",12,1.04545050055617,2.83631890989989,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",1,1.04940578420467,1.10474794215795,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",2,1.88344638487208,2.7955468298109,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",3,0.680087652947719,2.19785161290323,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",4,0.359788654060068,2.60402869855395,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",5,-1.13008109010011,1.55314271412681,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",6,0.42000934371524,1.43036006674082,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",7,1.77271779755284,2.31253081201335,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",8,1.68397552836485,2.16713570634038,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",9,1.99453526140156,1.86299810901001,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",10,3.55847141268076,2.36725928809789,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",11,1.34363704115684,3.14739944382648,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",12,0.139608565072303,1.73198987764182,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",1,1.74688642936596,2.10653503893215,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",2,1.67483993325918,2.17559199110122,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",3,2.66765862068965,1.88498387096774,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",4,1.02398220244716,2.45779644048943,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",5,-0.134784315906561,2.1154233592881,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",6,1.6295319243604,1.50249877641824,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",7,2.65179199110122,2.49631145717464,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",8,1.97996262513904,2.66630989988877,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",9,2.19592235817575,1.87802391546162,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",10,3.37971657397108,3.33792380422692,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",11,2.68078220244716,2.86831879866518,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",12,0.897550500556173,2.93046729699666,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",1,2.5428638487208,3.65959632925473,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",2,1.24662057842047,5.11316941045606,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",3,1.91752636262514,3.95294193548387,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",4,1.36317575083426,2.88529966629588,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",5,0.799002780867632,2.04950400444939,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",6,1.77274805339266,2.37342780867631,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",7,3.47175650723025,3.53102436040045,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",8,3.85572391546162,3.97211635150167,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",9,3.40488042269188,2.52677552836485,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",10,3.7885617352614,3.0079786429366,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",11,2.59003704115684,4.15232847608454,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",12,1.41453437152392,3.53820278086763,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",1,2.03378965517241,2.02971890989989,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",2,1.60440444938821,1.80257586206897,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",3,2.48911668520578,2.48364516129032,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",4,1.24791768631813,2.18048353726363,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",5,-1.44100044493882,1.97097819799778,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",6,1.49660289210233,1.4410149054505,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",7,2.72665650723025,2.95830177975528,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",8,3.30274972191324,3.50775506117909,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",9,2.01999977753059,2.48776907675195,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",10,2.8431488320356,2.69465928809789,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",11,1.61741123470523,3.71613170189099,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",12,1.87783437152392,5.0973318131257,"ssp370",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Yakima",1,3.02568965517241,5.49509310344828,"ssp370",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",2,2.92183348164627,6.38497263626251,"ssp370",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",3,3.62912313681869,3.92374838709677,"ssp370",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",4,3.13527252502781,4.0613383759733,"ssp370",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",5,1.64196407119021,3.15258787541713,"ssp370",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",6,4.39522869855395,3.60634071190211,"ssp370",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",7,5.1874532814238,5.51721145717464,"ssp370",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",8,5.3393852057842,5.57582925472748,"ssp370",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Yakima",9,4.36553526140156,4.12656262513904,"ssp370",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
