"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.76,1.25,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.52,1.93,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.56,2.4,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.77,1.81,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2,2.24,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.27,2.22,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.21,2.4,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.76,2.56,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.88,3.79,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.23,1.63,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.8,2.47,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.08,2.77,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
