"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.11,1.99,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
1.92,2.03,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
2.43,1.96,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
2,1.99,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
2.15,1.91,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
2.54,2.8,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
2.6,1.91,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
3.93,3.14,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
3.69,3.19,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
1.62,1.43,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
2.03,1.79,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
2.05,2.06,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
