"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.55,0.98,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
1.01,0.45,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
1.16,0.83,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.66,0.01,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.8,0.34,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.76,1.39,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
1.45,1.66,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
1.59,2.43,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.83,1.1,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.42,1.07,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.44,0.14,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
1.48,1.05,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
