"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.6,1.67,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
1.13,1.56,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
0.95,0.84,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
0.6,1.51,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
1.25,2.64,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
1.81,2.83,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
1.8,3.01,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
1.69,2.48,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
1.8,1.98,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
1.02,2.19,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
0.78,0.99,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
1.2,1.31,"rcp45",2035,2065,2050,1990,"relative","CCSM4"
