"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
6.08,4.84,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
5.31,4.42,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
5.41,5.15,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
4.17,3.72,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
3.48,2.15,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
6.26,6.07,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
8.67,8,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
8.82,8.03,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
7.62,6.95,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
5.3,4.89,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
4.09,3.65,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
4.19,3.85,"rcp85",2070,2100,2085,1990,"relative","CanESM2"
